,AAII_lag0,AAII_lag1,AAII_lag2,AAII_lag3,Google_lag0,Google_lag1,Google_lag2,Google_lag3,UMich_lag0,UMich_lag1,UMich_lag2,UMich_lag3
horizon_1,-0.0012697135055030498,0.0027925593325882577,-0.0030122102255733204,0.00030413462932442044,0.0006091983815018361,0.003476623226632249,-0.0023378208455383616,8.624606916762284e-05,0.039190687897883984,-0.0335818004172334,-0.016264157411902496,0.010785986338292723
horizon_2,0.001757359674853846,-0.002906542739430952,0.0007387435809669783,-0.000327606166942065,0.003941986091989681,-0.0027243351824013675,-0.0007107523818189853,0.0016293894905554593,-6.583205992899134e-05,-0.011912080794379394,0.010992014902843114,0.0009379249998142634
horizon_3,-0.0019559345314111936,0.0007938127479565243,-0.0014265683184203329,0.0019126051152873913,0.0004329635937400237,-0.0005970471871787157,0.00239500055661493,-0.0005926444369345485,-0.011164948969243613,0.007296450297035236,-0.007334852651241784,0.011099980823600874
horizon_4,-0.0007464314522799035,-0.0017131388169921845,0.00021169046136658301,0.0020881171100618308,-0.0001829522220934478,0.002168297168206862,-0.003187779515073025,0.0031195569765644173,-0.0027790800069917554,-0.008208669244645406,0.018486194752532197,-0.007610831955425845
horizon_5,-0.0022687436944705134,8.834434587764905e-05,0.0016795582407374355,0.000578567996643244,0.001973950124724564,-0.003104805445455445,0.001963325715694223,0.0012913231406674428,-0.011114368064246299,0.017943334341588235,-0.010246296753788738,0.003321701520269766
horizon_6,-0.0011220945027245399,0.0017949862369488572,0.001469579305547488,-0.002091600722131258,-0.00145734471377677,0.0019089380748109842,0.0030144725432091307,-0.002156230776968179,0.0110690571699981,-0.014228067881156771,0.000110366339581732,0.0029454539879343188
horizon_7,0.0012384136502113362,0.0016551432185203537,-0.0009205599362127197,-0.0017811837554919283,0.000736926219887777,0.0031059410710137497,-0.000476060498445744,-0.0021448523406413077,-0.004262974281923137,0.0006669972362672064,-0.0043377640776558965,0.007816736761607433
horizon_8,0.002549144566404819,-0.000654939691176657,-0.0016997005831297263,-0.0002836242613948661,0.0035290718426908086,-0.0004008104810147879,0.00024230892783072094,-0.0026927522108371378,-0.0018458477170216596,-0.005046067537127315,0.01233104516356965,-0.005605222449978447
horizon_9,0.0010355021314837419,-0.001708760458810431,-5.457949734381334e-06,7.483195822103392e-05,0.002279432288006657,0.0004993240987664576,-0.0030999784288917604,0.0006833669429504665,-0.006218380744792271,0.010201359326393796,-0.012858128608691712,0.008704249072333402
horizon_10,-0.001045740017036206,5.375486957357492e-05,-0.00039969304167994894,0.0008658721846134223,0.0024227460856503834,-0.0028525929437321126,0.002650074070448065,-0.0023899191934682587,0.005805059241593239,-0.01773479725379719,-0.006365480523183012,0.01818169429256997
horizon_11,-0.0007383704851583376,-0.0006896416304998962,0.0007742006165248731,0.00040078539224974594,-0.0013268413883365457,0.0028284748815628215,-0.004709995270349643,0.003255735206514055,-0.012985527736272425,-0.008141047504142847,0.004800447048585027,0.0163233825385184
horizon_12,-0.0010672485526874917,0.0007381379812434649,0.00033806766920924255,-9.871089693676463e-07,0.001633426535237855,-0.004219487882393032,0.0036943813481794645,-0.00104146126061217,-0.019655858010119345,0.0018502233980805007,0.0037400530287792066,0.014152124727833726
