Date,Return_true,Return_pred,Signal,StrategyReturn
2011-04-07,-0.0132890212202454,-0.001437556863997,-1.0,0.0132890212202454
2011-04-14,0.016733512073042,-0.0007039170500443728,-1.0,-0.016733512073042
2011-04-21,0.0172668137878462,-0.0009884108000006967,-1.0,-0.0172668137878462
2011-04-28,-0.0185384393217287,-0.001109669974102148,-1.0,0.0185384393217287
2011-05-05,0.0109424543727678,-0.0010812081182160803,-1.0,-0.0109424543727678
2011-05-12,-0.0029655333473215,-0.0012519375466181907,-1.0,0.0029655333473215
2011-05-19,-0.012552442988964,-0.0013063636864551625,-1.0,0.012552442988964
2011-05-26,-0.0095949373108998,-0.0015415778666985904,-1.0,0.0095949373108998
2011-06-02,-0.0178463116320415,-0.0017051690192827916,-1.0,0.0178463116320415
2011-06-09,-0.0163615836138033,-0.0008429763457468854,-1.0,0.0163615836138033
2011-06-16,0.0078247423104462,-0.0011428058950493554,-1.0,-0.0078247423104462
2011-06-23,0.0331487970741433,-0.0010187341232784446,-1.0,-0.0331487970741433
2011-06-30,0.025363107385897,-0.0011301168012311069,-1.0,-0.025363107385897
2011-07-07,-0.0332749502155529,-0.0014428919375459694,-1.0,0.0332749502155529
2011-07-14,0.0268269548513027,-0.0009211217518046988,-1.0,-0.0268269548513027
2011-07-21,-0.0322643810237694,-0.0008876089355058553,-1.0,0.0322643810237694
2011-07-28,-0.0795690340232617,-0.0012224662953316014,-1.0,0.0795690340232617
2011-08-04,-0.0246656027825027,-0.001114886826656491,-1.0,0.0246656027825027
2011-08-11,-0.0243284617332362,0.0005857535479978752,1.0,-0.0243284617332362
2011-08-18,0.0153384907565277,0.0006257830014589586,1.0,0.0153384907565277
2011-08-25,0.0392937030430795,-0.0004429897167234052,-1.0,-0.0392937030430795
2011-09-01,-0.0158349648584685,-0.0012697293669044713,-1.0,0.0158349648584685
2011-09-08,0.019878447997649,-0.001452938153327222,-1.0,-0.019878447997649
2011-09-15,-0.0731899987172601,-0.0008104646235337827,-1.0,0.0731899987172601
2011-09-22,0.0330335327860504,-0.000976105635436408,-1.0,-0.0330335327860504
2011-09-29,0.0037842833562384,-0.0008633052192986376,-1.0,-0.0037842833562384
2011-10-06,0.033927175611514,-0.000451676347944141,-1.0,-0.033927175611514
2011-10-13,0.0094975178348484,9.473982076512832e-05,1.0,0.0094975178348484
2011-10-20,0.0557099468598716,0.00021670166584758017,1.0,0.0557099468598716
2011-10-27,-0.0186760358851092,-0.00046987624359758404,-1.0,0.0186760358851092
2011-11-03,-0.0154050901957445,-0.0007937358784487316,-1.0,0.0154050901957445
2011-11-10,-0.0179369178666668,-0.0003066435814881576,-1.0,0.0179369178666668
2011-11-17,-0.0465162837064285,-0.000333637846879318,-1.0,0.0465162837064285
2011-11-24,0.0696680113641878,-0.000120039661155019,-1.0,-0.0696680113641878
2011-12-01,-0.0081952640707045,-0.001264771567622708,-1.0,0.0081952640707045
2011-12-08,-0.0143831336261897,0.0006585435618844098,1.0,-0.0143831336261897
2011-12-15,0.0249760017565909,2.6617751787820574e-05,1.0,0.0249760017565909
2011-12-22,0.0130843133330946,0.0005781347332196719,1.0,0.0130843133330946
2011-12-29,0.0151089183484183,-0.000564739912262803,-1.0,-0.0151089183484183
2012-01-05,0.0114152840614956,0.0002436472829678629,1.0,0.0114152840614956
2012-01-12,0.0149449347928625,0.0012116327054168875,1.0,0.0149449347928625
2012-01-19,0.0031895567820274,0.00045778032516168363,1.0,0.0031895567820274
2012-01-26,0.0060478043760134,0.00044108494125502505,1.0,0.0060478043760134
2012-02-02,0.0199975521332778,0.0007706508020455334,1.0,0.0199975521332778
2012-02-09,0.0050850148837993,3.158410817503574e-05,1.0,0.0050850148837993
2012-02-16,0.0042538903628921,-0.0006500617513072852,-1.0,-0.0042538903628921
2012-02-23,0.0080187498948323,-0.00038858552759012875,-1.0,-0.0080187498948323
2012-03-01,-0.0050225510191692,-0.0006148794879928175,-1.0,0.0050225510191692
2012-03-08,0.0264992000537951,-0.0009795761238093142,-1.0,-0.0264992000537951
2012-03-15,-0.0108601038014066,-0.0008085358760793718,-1.0,0.0108601038014066
2012-03-22,0.011744896990498,-0.0013405782457379593,-1.0,-0.011744896990498
2012-03-29,-0.0031428654652012,-0.0011905461940281263,-1.0,0.0031428654652012
2012-04-05,-0.0071792005277702,-0.0011251628729449469,-1.0,0.0071792005277702
2012-04-12,-0.0077390375686396,-0.00043500151993451056,-1.0,0.0077390375686396
2012-04-19,0.0175620204453874,0.00014886701728118937,1.0,0.0175620204453874
2012-04-26,-0.0065139652477013,-0.00025995546227741034,-1.0,0.0065139652477013
2012-05-03,-0.0234689982543905,0.00018785438291994642,1.0,-0.0234689982543905
2012-05-10,-0.038674117756944,0.00025883098637688494,1.0,-0.038674117756944
2012-05-17,0.0126812013054991,-0.0002496446647310734,-1.0,-0.0126812013054991
2012-05-24,-0.0080301663754056,-7.182891688654563e-05,-1.0,0.0080301663754056
2012-05-31,0.0044019422150043,-0.0003652624439281026,-1.0,-0.0044019422150043
2012-06-07,0.0106958965361148,-0.0002811381295206428,-1.0,-0.0106958965361148
2012-06-14,-0.0077469533363148,-0.00046766815785113437,-1.0,0.0077469533363148
2012-06-21,0.0078071978728075,-0.0007159051523649963,-1.0,-0.0078071978728075
2012-06-28,0.0296783043406216,-0.00046538471681227816,-1.0,-0.0296783043406216
2012-07-05,-0.02427074544544,-0.0008962041877721515,-1.0,0.02427074544544
2012-07-12,0.0311190507888836,-0.0011371165105586774,-1.0,-0.0311190507888836
